name,fdir,op_Mask_file_path,op_Mask_resolution,op_Mask_areaXEnd,op_Mask_areaYEnd
s25_0,/data/experiments/beamPolarisation11/data/25_0,/opt/xl/xl/experiments/masks/testYDSs25t0.tif,2.50E-08,10000,10000
s25_45,/data/experiments/beamPolarisation11/data/25_45,/opt/xl/xl/experiments/masks/testYDSs25t45.tif,1.77E-08,14142,14142
s25_90,/data/experiments/beamPolarisation11/data/25_90,/opt/xl/xl/experiments/masks/testYDSs25t90.tif,2.50E-08,10000,10000
s50_0,/data/experiments/beamPolarisation11/data/50_0,/opt/xl/xl/experiments/masks/testYDSs50t0.tif,2.50E-08,10000,10000
s50_45,/data/experiments/beamPolarisation11/data/50_45,/opt/xl/xl/experiments/masks/testYDSs50t45.tif,1.77E-08,14142,14142
s50_90,/data/experiments/beamPolarisation11/data/50_90,/opt/xl/xl/experiments/masks/testYDSs50t90.tif,2.50E-08,10000,10000
s75_0,/data/experiments/beamPolarisation11/data/75_0,/opt/xl/xl/experiments/masks/testYDSs75t0.tif,2.50E-08,10000,10000
s75_45,/data/experiments/beamPolarisation11/data/75_45,/opt/xl/xl/experiments/masks/testYDSs75t45.tif,1.77E-08,14142,14142
s75_90,/data/experiments/beamPolarisation11/data/75_90,/opt/xl/xl/experiments/masks/testYDSs75t90.tif,2.50E-08,10000,10000
s100_0,/data/experiments/beamPolarisation11/data/100_0,/opt/xl/xl/experiments/masks/testYDSs100t0.tif,2.50E-08,10000,10000
s100_45,/data/experiments/beamPolarisation11/data/100_45,/opt/xl/xl/experiments/masks/testYDSs100t45.tif,1.77E-08,14142,14142
s100_90,/data/experiments/beamPolarisation11/data/100_90,/opt/xl/xl/experiments/masks/testYDSs100t90.tif,2.50E-08,10000,10000
s125_0,/data/experiments/beamPolarisation11/data/125_0,/opt/xl/xl/experiments/masks/testYDSs125t0.tif,2.50E-08,10000,10000
s125_45,/data/experiments/beamPolarisation11/data/125_45,/opt/xl/xl/experiments/masks/testYDSs125t45.tif,1.77E-08,14142,14142
s125_90,/data/experiments/beamPolarisation11/data/125_90,/opt/xl/xl/experiments/masks/testYDSs125t90.tif,2.50E-08,10000,10000
s150_0,/data/experiments/beamPolarisation11/data/150_0,/opt/xl/xl/experiments/masks/testYDSs150t0.tif,2.50E-08,10000,10000
s150_45,/data/experiments/beamPolarisation11/data/150_45,/opt/xl/xl/experiments/masks/testYDSs150t45.tif,1.77E-08,14142,14142
s150_90,/data/experiments/beamPolarisation11/data/150_90,/opt/xl/xl/experiments/masks/testYDSs150t90.tif,2.50E-08,10000,10000
s175_0,/data/experiments/beamPolarisation11/data/175_0,/opt/xl/xl/experiments/masks/testYDSs175t0.tif,2.50E-08,10000,10000
s175_45,/data/experiments/beamPolarisation11/data/175_45,/opt/xl/xl/experiments/masks/testYDSs175t45.tif,1.77E-08,14142,14142
s175_90,/data/experiments/beamPolarisation11/data/175_90,/opt/xl/xl/experiments/masks/testYDSs175t90.tif,2.50E-08,10000,10000
s200_0,/data/experiments/beamPolarisation11/data/200_0,/opt/xl/xl/experiments/masks/testYDSs200t0.tif,2.50E-08,10000,10000
s200_45,/data/experiments/beamPolarisation11/data/200_45,/opt/xl/xl/experiments/masks/testYDSs200t45.tif,1.77E-08,14142,14142
s200_90,/data/experiments/beamPolarisation11/data/200_90,/opt/xl/xl/experiments/masks/testYDSs200t90.tif,2.50E-08,10000,10000
s225_0,/data/experiments/beamPolarisation11/data/225_0,/opt/xl/xl/experiments/masks/testYDSs225t0.tif,2.50E-08,10000,10000
s225_45,/data/experiments/beamPolarisation11/data/225_45,/opt/xl/xl/experiments/masks/testYDSs225t45.tif,1.77E-08,14142,14142
s225_90,/data/experiments/beamPolarisation11/data/225_90,/opt/xl/xl/experiments/masks/testYDSs225t90.tif,2.50E-08,10000,10000
