name,fdir,op_Mask_file_path,op_Mask_resolution,op_Mask_areaXEnd,op_Mask_areaYEnd
s25_exit0,/data/experiments/beamPolarisation11/data/25_exit0,/opt/xl/xl/experiments/masks/testYDSs25t0.tif,2.5E-08,10000,10000
s25_exit45,/data/experiments/beamPolarisation11/data/25_exit45,/opt/xl/xl/experiments/masks/testYDSs25t45.tif,1.77E-08,14142,14142
s25_exit90,/data/experiments/beamPolarisation11/data/25_exit90,/opt/xl/xl/experiments/masks/testYDSs25t90.tif,2.5E-08,10000,10000
s50_exit0,/data/experiments/beamPolarisation11/data/50_exit0,/opt/xl/xl/experiments/masks/testYDSs50t0.tif,2.5E-08,10000,10000
s50_exit45,/data/experiments/beamPolarisation11/data/50_exit45,/opt/xl/xl/experiments/masks/testYDSs50t45.tif,1.77E-08,14142,14142
s50_exit90,/data/experiments/beamPolarisation11/data/50_exit90,/opt/xl/xl/experiments/masks/testYDSs50t90.tif,2.5E-08,10000,10000
s75_exit0,/data/experiments/beamPolarisation11/data/75_exit0,/opt/xl/xl/experiments/masks/testYDSs75t0.tif,2.5E-08,10000,10000
s75_exit45,/data/experiments/beamPolarisation11/data/75_exit45,/opt/xl/xl/experiments/masks/testYDSs75t45.tif,1.77E-08,14142,14142
s75_exit90,/data/experiments/beamPolarisation11/data/75_exit90,/opt/xl/xl/experiments/masks/testYDSs75t90.tif,2.5E-08,10000,10000
s100_exit0,/data/experiments/beamPolarisation11/data/100_exit0,/opt/xl/xl/experiments/masks/testYDSs100t0.tif,2.5E-08,10000,10000
s100_exit45,/data/experiments/beamPolarisation11/data/100_exit45,/opt/xl/xl/experiments/masks/testYDSs100t45.tif,1.77E-08,14142,14142
s100_exit90,/data/experiments/beamPolarisation11/data/100_exit90,/opt/xl/xl/experiments/masks/testYDSs100t90.tif,2.5E-08,10000,10000
s125_exit0,/data/experiments/beamPolarisation11/data/125_exit0,/opt/xl/xl/experiments/masks/testYDSs125t0.tif,2.5E-08,10000,10000
s125_exit45,/data/experiments/beamPolarisation11/data/125_exit45,/opt/xl/xl/experiments/masks/testYDSs125t45.tif,1.77E-08,14142,14142
s125_exit90,/data/experiments/beamPolarisation11/data/125_exit90,/opt/xl/xl/experiments/masks/testYDSs125t90.tif,2.5E-08,10000,10000
s150_exit0,/data/experiments/beamPolarisation11/data/150_exit0,/opt/xl/xl/experiments/masks/testYDSs150t0.tif,2.5E-08,10000,10000
s150_exit45,/data/experiments/beamPolarisation11/data/150_exit45,/opt/xl/xl/experiments/masks/testYDSs150t45.tif,1.77E-08,14142,14142
s150_exit90,/data/experiments/beamPolarisation11/data/150_exit90,/opt/xl/xl/experiments/masks/testYDSs150t90.tif,2.5E-08,10000,10000
s175_exit0,/data/experiments/beamPolarisation11/data/175_exit0,/opt/xl/xl/experiments/masks/testYDSs175t0.tif,2.5E-08,10000,10000
s175_exit45,/data/experiments/beamPolarisation11/data/175_exit45,/opt/xl/xl/experiments/masks/testYDSs175t45.tif,1.77E-08,14142,14142
s175_exit90,/data/experiments/beamPolarisation11/data/175_exit90,/opt/xl/xl/experiments/masks/testYDSs175t90.tif,2.5E-08,10000,10000
s200_exit0,/data/experiments/beamPolarisation11/data/200_exit0,/opt/xl/xl/experiments/masks/testYDSs200t0.tif,2.5E-08,10000,10000
s200_exit45,/data/experiments/beamPolarisation11/data/200_exit45,/opt/xl/xl/experiments/masks/testYDSs200t45.tif,1.77E-08,14142,14142
s200_exit90,/data/experiments/beamPolarisation11/data/200_exit90,/opt/xl/xl/experiments/masks/testYDSs200t90.tif,2.5E-08,10000,10000
s225_exit0,/data/experiments/beamPolarisation11/data/225_exit0,/opt/xl/xl/experiments/masks/testYDSs225t0.tif,2.5E-08,10000,10000
s225_exit45,/data/experiments/beamPolarisation11/data/225_exit45,/opt/xl/xl/experiments/masks/testYDSs225t45.tif,1.77E-08,14142,14142
s225_exit90,/data/experiments/beamPolarisation11/data/225_exit90,/opt/xl/xl/experiments/masks/testYDSs225t90.tif,2.5E-08,10000,10000
