name,fdir,op_Mask_file_path,op_Farfield_Propagation_L,'gbm_pol'
p20_LH,/data/experiments/beamPolarisation5/data/20LH,/opt/xl/xl/experiments/masks/mask_p20.tif,1.45E-05,1
p24_LH,/data/experiments/beamPolarisation5/data/24LH,/opt/xl/xl/experiments/masks/mask_p24.tif,1.85E-05,1
p28_LH,/data/experiments/beamPolarisation5/data/28LH,/opt/xl/xl/experiments/masks/mask_p28.tif,2.23E-05,1
p32_LH,/data/experiments/beamPolarisation5/data/32LH,/opt/xl/xl/experiments/masks/mask_p32.tif,2.6E-05,1
p36_LH,/data/experiments/beamPolarisation5/data/36LH,/opt/xl/xl/experiments/masks/mask_p36.tif,2.97E-05,1
p40_LH,/data/experiments/beamPolarisation5/data/40LH,/opt/xl/xl/experiments/masks/mask_p40.tif,3.33E-05,1
p20_LV,/data/experiments/beamPolarisation5/data/20LV,/opt/xl/xl/experiments/masks/mask_p20.tif,1.45E-05,2
p24_LV,/data/experiments/beamPolarisation5/data/24LV,/opt/xl/xl/experiments/masks/mask_p24.tif,1.85E-05,2
p28_LV,/data/experiments/beamPolarisation5/data/28LV,/opt/xl/xl/experiments/masks/mask_p28.tif,2.23E-05,2
p32_LV,/data/experiments/beamPolarisation5/data/32LV,/opt/xl/xl/experiments/masks/mask_p32.tif,2.6E-05,2
p36_LV,/data/experiments/beamPolarisation5/data/36LV,/opt/xl/xl/experiments/masks/mask_p36.tif,2.97E-05,2
p40_LV,/data/experiments/beamPolarisation5/data/40LV,/opt/xl/xl/experiments/masks/mask_p40.tif,3.33E-05,2
