name,fdir,op_Mask_thick
mt1240,/data/experiments/maskEfficiency15/data/1240,1.24E-07
mt1241,/data/experiments/maskEfficiency15/data/1241,1.241E-07
mt1242,/data/experiments/maskEfficiency15/data/1242,1.242E-07
mt1243,/data/experiments/maskEfficiency15/data/1243,1.243E-07
mt1244,/data/experiments/maskEfficiency15/data/1244,1.244E-07
mt1245,/data/experiments/maskEfficiency15/data/1245,1.245E-07
mt1246,/data/experiments/maskEfficiency15/data/1246,1.246E-07
mt1247,/data/experiments/maskEfficiency15/data/1247,1.247E-07
mt1248,/data/experiments/maskEfficiency15/data/1248,1.248E-07
mt1249,/data/experiments/maskEfficiency15/data/1249,1.249E-07
mt1250,/data/experiments/maskEfficiency15/data/1250,1.25E-07
mt1251,/data/experiments/maskEfficiency15/data/1251,1.251E-07
mt1252,/data/experiments/maskEfficiency15/data/1252,1.252E-07
mt1253,/data/experiments/maskEfficiency15/data/1253,1.253E-07
mt1254,/data/experiments/maskEfficiency15/data/1254,1.254E-07
mt1255,/data/experiments/maskEfficiency15/data/1255,1.255E-07
mt1256,/data/experiments/maskEfficiency15/data/1256,1.256E-07
mt1257,/data/experiments/maskEfficiency15/data/1257,1.257E-07
mt1258,/data/experiments/maskEfficiency15/data/1258,1.258E-07
mt1259,/data/experiments/maskEfficiency15/data/1259,1.259E-07
mt1260,/data/experiments/maskEfficiency15/data/1260,1.26E-07
mt1261,/data/experiments/maskEfficiency15/data/1261,1.261E-07
mt1262,/data/experiments/maskEfficiency15/data/1262,1.262E-07
mt1263,/data/experiments/maskEfficiency15/data/1263,1.263E-07
mt1264,/data/experiments/maskEfficiency15/data/1264,1.264E-07
mt1265,/data/experiments/maskEfficiency15/data/1265,1.265E-07
mt1266,/data/experiments/maskEfficiency15/data/1266,1.266E-07
mt1267,/data/experiments/maskEfficiency15/data/1267,1.267E-07
mt1268,/data/experiments/maskEfficiency15/data/1268,1.268E-07
mt1269,/data/experiments/maskEfficiency15/data/1269,1.269E-07
mt1270,/data/experiments/maskEfficiency15/data/1270,1.27E-07
mt1271,/data/experiments/maskEfficiency15/data/1271,1.271E-07
mt1272,/data/experiments/maskEfficiency15/data/1272,1.272E-07
mt1273,/data/experiments/maskEfficiency15/data/1273,1.273E-07
mt1274,/data/experiments/maskEfficiency15/data/1274,1.274E-07
mt1275,/data/experiments/maskEfficiency15/data/1275,1.275E-07
mt1276,/data/experiments/maskEfficiency15/data/1276,1.276E-07
mt1277,/data/experiments/maskEfficiency15/data/1277,1.277E-07
mt1278,/data/experiments/maskEfficiency15/data/1278,1.278E-07
mt1279,/data/experiments/maskEfficiency15/data/1279,1.279E-07
mt1280,/data/experiments/maskEfficiency15/data/1280,1.28E-07
