name,fdir,op_Mask_thick
mt_exit1290,/data/experiments/maskEfficiency17/data/1290,1.29E-07
mt_exit1295,/data/experiments/maskEfficiency17/data/1295,1.295E-07
mt_exit1300,/data/experiments/maskEfficiency17/data/1300,1.3E-07
mt_exit1305,/data/experiments/maskEfficiency17/data/1305,1.305E-07
mt_exit1310,/data/experiments/maskEfficiency17/data/1310,1.31E-07
mt_exit1315,/data/experiments/maskEfficiency17/data/1315,1.315E-07
mt_exit1320,/data/experiments/maskEfficiency17/data/1320,1.32E-07
mt_exit1325,/data/experiments/maskEfficiency17/data/1325,1.325E-07
mt_exit1330,/data/experiments/maskEfficiency17/data/1330,1.33E-07
mt_exit1335,/data/experiments/maskEfficiency17/data/1335,1.335E-07
mt_exit1340,/data/experiments/maskEfficiency17/data/1340,1.34E-07
mt_exit1345,/data/experiments/maskEfficiency17/data/1345,1.345E-07
mt_exit1350,/data/experiments/maskEfficiency17/data/1350,1.35E-07
mt_exit1355,/data/experiments/maskEfficiency17/data/1355,1.355E-07
mt_exit1360,/data/experiments/maskEfficiency17/data/1360,1.36E-07
mt_exit1365,/data/experiments/maskEfficiency17/data/1365,1.365E-07
mt_exit1370,/data/experiments/maskEfficiency17/data/1370,1.37E-07
mt_exit1375,/data/experiments/maskEfficiency17/data/1375,1.375E-07
mt_exit1380,/data/experiments/maskEfficiency17/data/1380,1.38E-07
mt_exit1385,/data/experiments/maskEfficiency17/data/1385,1.385E-07
mt_exit1390,/data/experiments/maskEfficiency17/data/1390,1.39E-07
mt_exit1395,/data/experiments/maskEfficiency17/data/1395,1.395E-07
mt_exit1400,/data/experiments/maskEfficiency17/data/1400,1.4E-07
mt_exit1405,/data/experiments/maskEfficiency17/data/1405,1.405E-07
mt_exit1410,/data/experiments/maskEfficiency17/data/1410,1.41E-07
mt_exit1415,/data/experiments/maskEfficiency17/data/1415,1.415E-07
mt_exit1420,/data/experiments/maskEfficiency17/data/1420,1.42E-07
mt_exit1425,/data/experiments/maskEfficiency17/data/1425,1.425E-07
mt_exit1430,/data/experiments/maskEfficiency17/data/1430,1.43E-07
mt_exit1435,/data/experiments/maskEfficiency17/data/1435,1.435E-07
mt_exit1440,/data/experiments/maskEfficiency17/data/1440,1.44E-07
mt_exit1445,/data/experiments/maskEfficiency17/data/1445,1.445E-07
mt_exit1450,/data/experiments/maskEfficiency17/data/1450,1.45E-07
mt_exit1455,/data/experiments/maskEfficiency17/data/1455,1.455E-07
mt_exit1460,/data/experiments/maskEfficiency17/data/1460,1.46E-07
mt_exit1465,/data/experiments/maskEfficiency17/data/1465,1.465E-07
mt_exit1470,/data/experiments/maskEfficiency17/data/1470,1.47E-07
mt_exit1475,/data/experiments/maskEfficiency17/data/1475,1.475E-07
mt_exit1480,/data/experiments/maskEfficiency17/data/1480,1.48E-07
mt_exit1485,/data/experiments/maskEfficiency17/data/1485,1.485E-07
mt_exit1490,/data/experiments/maskEfficiency17/data/1490,1.49E-07
mt_exit1495,/data/experiments/maskEfficiency17/data/1495,1.495E-07
mt_exit1500,/data/experiments/maskEfficiency17/data/1500_exit,1.5E-07
