name,fdir,op_Farfield_Propagation_L
p186,/data/experiments/maskEfficiency4/data/p186,0.000186
p187,/data/experiments/maskEfficiency4/data/p187,0.000187
p188,/data/experiments/maskEfficiency4/data/p188,0.000188
p189,/data/experiments/maskEfficiency4/data/p189,0.000189
p190,/data/experiments/maskEfficiency4/data/p190,0.00019
p191,/data/experiments/maskEfficiency4/data/p191,0.000191
p192,/data/experiments/maskEfficiency4/data/p192,0.000192
p193,/data/experiments/maskEfficiency4/data/p193,0.000193
p194,/data/experiments/maskEfficiency4/data/p194,0.000194
p195,/data/experiments/maskEfficiency4/data/p195,0.000195
p196,/data/experiments/maskEfficiency4/data/p196,0.000196
p197,/data/experiments/maskEfficiency4/data/p197,0.000197
p198,/data/experiments/maskEfficiency4/data/p198,0.000198
p199,/data/experiments/maskEfficiency4/data/p199,0.000199
p200,/data/experiments/maskEfficiency4/data/p200,0.0002
p201,/data/experiments/maskEfficiency4/data/p201,0.000201
p202,/data/experiments/maskEfficiency4/data/p202,0.000202
p203,/data/experiments/maskEfficiency4/data/p203,0.000203
p204,/data/experiments/maskEfficiency4/data/p204,0.000204
p205,/data/experiments/maskEfficiency4/data/p205,0.000205
p206,/data/experiments/maskEfficiency4/data/p206,0.000206
