"Photon energy (eV)"    "Reflectivity"
           0.090000  9.184012e-01
           1.118437  3.748102e-01
           2.146875  9.868394e-03
           3.175312  1.050459e-03
           4.203750  6.679519e-05
           5.232188  2.484046e-06
           6.260625  1.583199e-07
           7.289062  1.800144e-08
           8.317500  2.911085e-09
           9.345937  6.012177e-10
          10.374375  1.437923e-10
          11.402812  3.580838e-11
          12.431250  1.271316e-11
          13.459687  4.946734e-12
          14.488125  2.320550e-12
          15.516562  1.222075e-12
          16.545000  6.025218e-13
          17.573438  3.016667e-13
          18.601875  1.551193e-13
          19.630312  8.204180e-14
          20.658750  4.461965e-14
          21.687188  2.492511e-14
          22.715625  1.427857e-14
          23.744062  8.395165e-15
          24.772500  5.042627e-15
          25.800937  3.084354e-15
          26.829375  1.923763e-15
          27.857813  1.224416e-15
          28.886250  7.907229e-16
          29.914687  5.170511e-16
          30.943125  3.429194e-16
          31.971563  2.304522e-16
          33.000000  1.568101e-16
           0.090000  9.184012e-01
           0.090997  9.192809e-01
           0.091995  9.200636e-01
           0.092992  9.207506e-01
           0.093989  9.213544e-01
           0.094987  9.218814e-01
           0.095984  9.223295e-01
           0.096981  9.226957e-01
           0.097978  9.229848e-01
           0.098976  9.232017e-01
           0.099973  9.233468e-01
           0.100970  9.234215e-01
           0.101968  9.234276e-01
           0.102965  9.233657e-01
           0.103962  9.232300e-01
           0.104960  9.230169e-01
           0.105957  9.227107e-01
           0.106954  9.222555e-01
           0.107951  9.204479e-01
           0.108949  9.197509e-01
           0.109946  9.193067e-01
           0.110943  9.187805e-01
           0.111941  9.181763e-01
           0.112938  9.175001e-01
           0.113935  9.167448e-01
           0.114933  9.159149e-01
           0.115930  9.150108e-01
           0.116927  9.140333e-01
           0.117924  9.129811e-01
           0.118922  9.118529e-01
           0.119919  9.106490e-01
           0.120916  9.093593e-01
           0.121914  9.079810e-01
           0.122911  9.065225e-01
           0.123908  9.049810e-01
           0.124906  9.033539e-01
           0.125903  9.016370e-01
           0.126900  8.998162e-01
           0.127898  8.978770e-01
           0.128895  8.958293e-01
           0.129892  8.936829e-01
           0.130889  8.914279e-01
           0.131887  8.890668e-01
           0.132884  8.866075e-01
           0.133881  8.840480e-01
           0.134879  8.813743e-01
           0.135876  8.785831e-01
           0.136873  8.756875e-01
           0.137871  8.726861e-01
           0.138868  8.695584e-01
           0.139865  8.663105e-01
           0.140862  8.629534e-01
           0.141860  8.594827e-01
           0.142857  8.558728e-01
           0.143854  8.521518e-01
           0.144852  8.483191e-01
           0.145849  8.443443e-01
           0.146846  8.402521e-01
           0.147844  8.360481e-01
           0.148841  8.317083e-01
           0.149838  8.272472e-01
           0.150835  8.226765e-01
           0.151833  8.179740e-01
           0.152830  8.131505e-01
           0.153827  8.082205e-01
           0.154825  8.031618e-01
           0.155822  7.979856e-01
           0.156819  7.927047e-01
           0.157817  7.872831e-01
           0.158814  7.817604e-01
           0.159811  7.761521e-01
           0.160809  7.704918e-01
           0.161806  7.647473e-01
           0.162803  7.588556e-01
           0.163800  7.528790e-01
           0.164798  7.468472e-01
           0.165795  7.407288e-01
           0.166792  7.345550e-01
           0.167790  7.283234e-01
           0.168787  7.220378e-01
           0.169784  7.157155e-01
           0.170782  7.093433e-01
           0.171779  7.029480e-01
           0.172776  6.965282e-01
           0.173773  6.900928e-01
           0.174771  6.836514e-01
           0.175768  6.772027e-01
           0.176765  6.707636e-01
           0.177763  6.643353e-01
           0.178760  6.579294e-01
           0.179757  6.515496e-01
           0.180755  6.452043e-01
           0.181752  6.388996e-01
           0.182749  6.326433e-01
           0.183746  6.264402e-01
           0.184744  6.202973e-01
           0.185741  6.142183e-01
           0.186738  6.082136e-01
           0.187736  6.022828e-01
           0.188733  5.964345e-01
           0.189730  5.906709e-01
           0.190728  5.849993e-01
           0.191725  5.794206e-01
           0.192722  5.739391e-01
           0.193720  5.685581e-01
           0.194717  5.632792e-01
           0.195714  5.581079e-01
           0.196711  5.530431e-01
           0.197709  5.480889e-01
           0.198706  5.432426e-01
           0.199703  5.385113e-01
           0.200701  5.338903e-01
           0.201698  5.293900e-01
           0.202695  5.250025e-01
           0.203693  5.207263e-01
           0.204690  5.165582e-01
           0.205687  5.125075e-01
           0.206684  5.085686e-01
           0.207682  5.047435e-01
           0.208679  5.010287e-01
           0.209676  4.974214e-01
           0.210674  4.939204e-01
           0.211671  4.905206e-01
           0.212668  4.872288e-01
           0.213666  4.840592e-01
           0.214663  4.810260e-01
           0.215660  4.780786e-01
           0.216657  4.752002e-01
           0.217655  4.723930e-01
           0.218652  4.696934e-01
           0.219649  4.670826e-01
           0.220647  4.645637e-01
           0.221644  4.621265e-01
           0.222641  4.597746e-01
           0.223639  4.575040e-01
           0.224636  4.553128e-01
           0.225633  4.532043e-01
           0.226631  4.511662e-01
           0.227628  4.492075e-01
           0.228625  4.473141e-01
           0.229622  4.454956e-01
           0.230620  4.437410e-01
           0.231617  4.420516e-01
           0.232614  4.404249e-01
           0.233612  4.388571e-01
           0.234609  4.373537e-01
           0.235606  4.359027e-01
           0.236604  4.345124e-01
           0.237601  4.331727e-01
           0.238598  4.318850e-01
           0.239595  4.306475e-01
           0.240593  4.294558e-01
           0.241590  4.283174e-01
           0.242587  4.272203e-01
           0.243585  4.261697e-01
           0.244582  4.251598e-01
           0.245579  4.241852e-01
           0.246577  4.232483e-01
           0.247574  4.223598e-01
           0.248571  4.215439e-01
           0.249568  4.207765e-01
           0.250566  4.200252e-01
           0.251563  4.192778e-01
           0.252560  4.185458e-01
           0.253558  4.178527e-01
           0.254555  4.171929e-01
           0.255552  4.165597e-01
           0.256550  4.159527e-01
           0.257547  4.153747e-01
           0.258544  4.148383e-01
           0.259542  4.143341e-01
           0.260539  4.138464e-01
           0.261536  4.133702e-01
           0.262533  4.129058e-01
           0.263531  4.124638e-01
           0.264528  4.120460e-01
           0.265525  4.116464e-01
           0.266523  4.112684e-01
           0.267520  4.109065e-01
           0.268517  4.105612e-01
           0.269515  4.102352e-01
           0.270512  4.099231e-01
           0.271509  4.096273e-01
           0.272506  4.093469e-01
           0.273504  4.090787e-01
           0.274501  4.088264e-01
           0.275498  4.085862e-01
           0.276496  4.083569e-01
           0.277493  4.081435e-01
           0.278490  4.079396e-01
           0.279488  4.077466e-01
           0.280485  4.075663e-01
           0.281482  4.073941e-01
           0.282479  4.072322e-01
           0.283477  4.070801e-01
           0.284474  4.069348e-01
           0.285471  4.067997e-01
           0.286469  4.066724e-01
           0.287466  4.065506e-01
           0.288463  4.064386e-01
           0.289461  4.063323e-01
           0.290458  4.062304e-01
           0.291455  4.061381e-01
           0.292452  4.060498e-01
           0.293450  4.059649e-01
           0.294447  4.058888e-01
           0.295444  4.058152e-01
           0.296442  4.057442e-01
           0.297439  4.056804e-01
           0.298436  4.056182e-01
           0.299434  4.055577e-01
           0.300431  4.055036e-01
           0.301428  4.054500e-01
           0.302426  4.053970e-01
           0.303423  4.053489e-01
           0.304420  4.053000e-01
           0.305417  4.052504e-01
           0.306415  4.052052e-01
           0.307412  4.051580e-01
           0.308409  4.051085e-01
           0.309407  4.050619e-01
           0.310404  4.050120e-01
           0.311401  4.049582e-01
           0.312399  4.049054e-01
           0.313396  4.048481e-01
           0.314393  4.047853e-01
           0.315390  4.047213e-01
           0.316388  4.046517e-01
           0.317385  4.045743e-01
           0.318382  4.044910e-01
           0.319380  4.043996e-01
           0.320377  4.042979e-01
           0.321374  4.041866e-01
