"Photon energy (eV)"	"Reflectivity"
90	0.839628137
99.91	0.854925937
109.82	0.862366083
119.73	0.861698137
129.64	0.861289999
139.55	0.8524174
149.46	0.826976886
159.37	0.787040583
169.28	0.726286757
179.19	0.643873965
189.1	0.563810147
199.01	0.495430266
208.92	0.445389535
218.83	0.415702893
228.74	0.392740729
238.65	0.377801648
248.56	0.365790607
258.47	0.358052982
268.38	0.351345355
278.29	0.348624045
288.2	0.344864417
298.11	0.340600833
308.02	0.337098419
317.93	0.334673877
327.84	0.331854847
337.75	0.329280608
347.66	0.327629005
357.57	0.327761494
367.48	0.326832235
377.39	0.325345206
387.3	0.323809737
397.21	0.322712757
407.12	0.322613237
417.03	0.322017484
426.94	0.320833867
436.85	0.319463825
446.76	0.318169608
456.67	0.317224942
466.58	0.315998309
476.49	0.314507427
486.4	0.31287963
496.31	0.311178468
506.22	0.309475433
516.13	0.307827028
526.04	0.306150391
535.95	0.304442173
545.86	0.302741473
555.77	0.301079235
565.68	0.299531654
575.59	0.298101866
585.5	0.296676298
595.41	0.295252163
605.32	0.293869958
615.23	0.292560974
625.14	0.291358753
635.05	0.29031887
644.96	0.289605962
654.87	0.289672559
664.78	0.290032564
674.69	0.290089754
684.6	0.289826173
694.51	0.289424562
704.42	0.288920265
714.33	0.288337415
724.24	0.287649844
734.15	0.286883847
744.06	0.286129167
753.97	0.285394711
763.88	0.284683599
773.79	0.284003489
783.7	0.283372211
793.61	0.282992443
803.52	0.282858309
813.43	0.282866466
823.34	0.282710321
833.25	0.282517555
843.16	0.282327158
853.07	0.282148109
862.98	0.282001419
872.89	0.282282023
882.8	0.282908745
892.71	0.283943845
902.62	0.284582751
912.53	0.285122973
922.44	0.285588807
932.35	0.285984732
942.26	0.286394449
952.17	0.28681951
962.08	0.287499688
971.99	0.288190525
981.9	0.288872563
991.81	0.289449334
1001.72	0.289996314
1011.63	0.290516918
1021.54	0.291206944
1031.45	0.29202094
1041.36	0.293551712
1051.27	0.29513712
1061.18	0.296674462
1071.09	0.298050029
1081	0.29927717
1090.91	0.300341748
1100.82	0.301360786
1110.73	0.302216987
1120.64	0.303044097
1130.55	0.303759562
1140.46	0.304427491
1150.37	0.305017516
1160.28	0.305544594
1170.19	0.306014292
1180.1	0.306406407
